stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
229,10229,KARANFİL,,40.6900266111887,29.9995341897011,,,0,,Europe/Istanbul,0
230,10230,BAĞDE,,40.6915214221173,29.9999928474426,,,0,,Europe/Istanbul,0
231,10231,SEMAZEN,,40.6959724277,29.9987716934,,,0,,Europe/Istanbul,0
232,10232,NEYZEN,,40.6957270503741,29.9986678361893,,,0,,Europe/Istanbul,0
233,10233,TARİF,,40.6970119557,29.9987552526,,,0,,Europe/Istanbul,0
234,10234,KARAMÜRSEL ALP,,40.7215987217,29.9978704794,,,0,,Europe/Istanbul,0
235,10235,KARAMÜRSEL ALP 1,,40.7216875287,29.9978268896,,,0,,Europe/Istanbul,0
236,10236,GAZİLER,,40.7219736447,29.9967934433,,,0,,Europe/Istanbul,0
237,10237,SELAHATTİN EYYUBİ CADDESİ 2,,40.7145898485523,29.9379909038544,,,0,,Europe/Istanbul,0
238,10238,FETİH CAMİİ,,40.714714958,29.9446235745,,,0,,Europe/Istanbul,0
239,10147,DAĞ SÜMBÜLÜ SOKAK,,40.7128419176,29.9206588338,,,0,,Europe/Istanbul,0
240,10240,ASKERİYE 1,,40.7198759896,29.9475376228,,,0,,Europe/Istanbul,0
241,10241,ÇARŞI,,40.7226552845,29.9506076022,,,0,,Europe/Istanbul,0
242,10242,DEĞERLİ,,40.7227054927187,29.9516648054123,,,0,,Europe/Istanbul,0
243,10243,DEĞERLİ 1,,40.7227837768,29.9511983191,,,0,,Europe/Istanbul,0
244,10244,GÜL,,40.7229550759,29.9531805326,,,0,,Europe/Istanbul,0
245,10245,MAHMUT PAŞA CAMİİ,,40.7232543045,29.955480707,,,0,,Europe/Istanbul,0
246,10246,MAHMUT PAŞA CAMİİ 1,,40.7231763069,29.9554865186,,,0,,Europe/Istanbul,0
247,10247,HASAN GÜLAY SOKAK,,40.7234811692,29.9583908045,,,0,,Europe/Istanbul,0
248,10248,KARDELEN SOKAK,,40.7236406581,29.9614521759,,,0,,Europe/Istanbul,0
249,10283,KASIM AĞA,,40.7178037737,29.94855003,,,0,,Europe/Istanbul,0
250,10250,ÇAM SOKAK,,40.7235780957,29.9634597335,,,0,,Europe/Istanbul,0
251,10251,KOLAYLI,,40.7231111048,29.9659171455,,,0,,Europe/Istanbul,0
252,10252,KULLAR M.Y.O. 1,,40.7228232510094,29.9689865112305,,,0,,Europe/Istanbul,0
253,10253,KULLAR M.Y.O. 2,,40.722959446987,29.9688389897346,,,0,,Europe/Istanbul,0
255,10255,BAŞİSKELE AKAR,,40.718815,29.968386,,,0,,Europe/Istanbul,0
256,10256,İSTİKLAL CADDESİ 02,,40.7188280661,29.9685006573,,,0,,Europe/Istanbul,0
257,10370,PELİT SOKAK,,40.7232155759812,29.9659261107445,,,0,,Europe/Istanbul,0
258,41889,KARAMÜRSEL ANAOKULU,,40.6896061813,29.6075230167,,,0,,Europe/Istanbul,0
259,10259,KOÜ DİŞ HASTANESİ,,40.7066117096,29.9750506984,,,0,,Europe/Istanbul,0
260,70421,ÇİFTLİK İZMİT,,40.7074847931894,29.8473237466096,,,0,,Europe/Istanbul,0
261,10368,BAŞİSKELE YURT,,40.7175214862,29.9516499572,,,0,,Europe/Istanbul,0
262,70225,CUMHURİYET D-130,,40.717094,29.777311,,,0,,Europe/Istanbul,0
263,10263,YUVACIK DÖRTYOL,,40.6945405964,29.9582259402,,,0,,Europe/Istanbul,0
264,10264,HİKMET KARAARSLAN,,40.6920871382,29.9584840244,,,0,,Europe/Istanbul,0
265,10265,KÖRAHMET SOKAK,,40.68610927,29.9603524939,,,0,,Europe/Istanbul,0
266,10266,YUVACIK KO-MEK,,40.6881592897409,29.9647271633148,,,0,,Europe/Istanbul,0
267,10267,YUVACIK GARAJ,,40.6906602354,29.9632721607,,,0,,Europe/Istanbul,0
268,10268,FATİH TEPE 1,,40.6942423342,29.961182129,,,0,,Europe/Istanbul,0
269,94007,ESKİ YOL 1,,40.6995723272,29.6580327244,,,0,,Europe/Istanbul,0
270,30340,NENEHATUN DÖRTYOL,,40.778814003,29.3887176509,,,0,,Europe/Istanbul,0
271,30375,NANELİ SOKAK,,40.7841524,29.4000861,,,0,,Europe/Istanbul,0
272,30387,MARMARAY TREN İSTASYONU,,40.7836323749648,29.4105103290491,,,0,,Europe/Istanbul,0
273,30388,MARMARAY TREN İSTASYONU 1,,40.7833327599,29.4109904147,,,0,,Europe/Istanbul,0
274,10274,ELÇİ SOKAK,,40.7058005001,29.9619655435,,,0,,Europe/Istanbul,0
275,10275,ODUN DEPOSU,,40.7081450024,29.9612954022,,,0,,Europe/Istanbul,0
276,60690,BAYRAMOĞLU YOLU 1,,40.8091841313,29.3694890654,,,0,,Europe/Istanbul,0
277,10277,ALİZE PARK,,40.710804,29.960045,,,0,,Europe/Istanbul,0
278,60691,BAYRAMOĞLU YOLU,,40.8100596250508,29.3686369953132,,,0,,Europe/Istanbul,0
279,60692,ŞİŞE CAM YOLU 2,,40.8045869077396,29.366976565565,,,0,,Europe/Istanbul,0
280,10280,ŞHT. ÖZEN OZAN KIZ A.İ.H.L. 1,,40.7136258433,29.9555958735,,,0,,Europe/Istanbul,0
